topic_id,source_doc,basename,title,kind_guess,owner_guess,class_guess,value_level,status,project_score,project_tags,keywords,path,notes
acad_aag:GUID_83045B84_E056_4AE6_AEF5_D48AFB4F9F78,acad_aag,GUID-83045B84-E056-4AE6-AEF5-D48AFB4F9F78.htm,About Working with No Documents Open (VBA/ActiveX),topic,VBA/ActiveX,core_symbol,high,keep,10,document,"about,activex,ae6,aef5,b84,d48afb4f9f78,documents,e056,guid,htm,open,vba,with,working",01_extracted_html/acad_aag/GUID-83045B84-E056-4AE6-AEF5-D48AFB4F9F78.htm,project-relevant core topic
acad_aag:GUID_9091E614_25B8_452E_A67A_301939B52161,acad_aag,GUID-9091E614-25B8-452E-A67A-301939B52161.htm,"About the Preferences, Plot, and Utility Objects (VBA/ActiveX)",object,VBA/ActiveX,core_symbol,high,keep,10,print,"a67a,about,activex,and,b52161,e614,guid,htm,objects,plot,preferences,the,utility,vba",01_extracted_html/acad_aag/GUID-9091E614-25B8-452E-A67A-301939B52161.htm,project-relevant core topic
acad_aag:GUID_435FABFF_D469_4004_AB1E_A47295959AB1,acad_aag,GUID-435FABFF-D469-4004-AB1E-A47295959AB1.htm,About Assigning a Linetype to a Layer (VBA/ActiveX),topic,VBA/ActiveX,core_symbol,high,keep,8,construction,"a47295959ab1,ab1e,about,activex,assigning,d469,fabff,guid,htm,layer,linetype,vba",01_extracted_html/acad_aag/GUID-435FABFF-D469-4004-AB1E-A47295959AB1.htm,project-relevant core topic
acad_aag:GUID_49A4B783_D344_497B_BF37_3B4925813B31,acad_aag,GUID-49A4B783-D344-497B-BF37-3B4925813B31.htm,"About Changing the Layer, Boundary Color, and Boundary Linetype for an Image (VBA/ActiveX)",topic,VBA/ActiveX,core_symbol,high,keep,8,construction,"a4b783,about,activex,and,b4925813b31,bf37,boundary,changing,color,d344,for,guid,htm,image,layer,linetype,the,vba",01_extracted_html/acad_aag/GUID-49A4B783-D344-497B-BF37-3B4925813B31.htm,project-relevant core topic
acadauto:ex_layoutshowplotsetup,acadauto,ex_layoutshowplotsetup.htm,LayoutShowPlotSetup Example [ActiveX and VBA Reference: AAR],topic,,on_demand,low,defer,16,"layout,print","aar,activex,and,ex_layoutshowplotsetup,example,htm,layoutshowplotsetup,reference,vba",01_extracted_html/acadauto/ex_layoutshowplotsetup.htm,example page
acadauto:ex_setlayoutstoplot,acadauto,ex_setlayoutstoplot.htm,SetLayoutsToPlot Example [ActiveX and VBA Reference: AAR],topic,,on_demand,low,defer,16,"layout,print","aar,activex,and,ex_setlayoutstoplot,example,htm,reference,setlayoutstoplot,vba",01_extracted_html/acadauto/ex_setlayoutstoplot.htm,example page
acadauto:ex_addminsertblock,acadauto,ex_addminsertblock.htm,AddMInsertBlock Example [ActiveX and VBA Reference: AAR],topic,,on_demand,low,defer,12,titleblock,"aar,activex,addminsertblock,and,ex_addminsertblock,example,htm,reference,vba",01_extracted_html/acadauto/ex_addminsertblock.htm,example page
acadauto:ex_blockattribute,acadauto,ex_blockattribute.htm,Block Attribute Example [ActiveX and VBA Reference: AAR],topic,,on_demand,low,defer,12,titleblock,"aar,activex,and,attribute,block,ex_blockattribute,example,htm,reference,vba",01_extracted_html/acadauto/ex_blockattribute.htm,example page
acadauto:ex_defaultplotstyleforlayer,acadauto,ex_defaultplotstyleforlayer.htm,DefaultPlotStyleForLayer Example [ActiveX and VBA Reference: AAR],topic,,on_demand,low,defer,12,"construction,print","aar,activex,and,defaultplotstyleforlayer,ex_defaultplotstyleforlayer,example,htm,reference,vba",01_extracted_html/acadauto/ex_defaultplotstyleforlayer.htm,example page
acadauto:ex_getattributes,acadauto,ex_getattributes.htm,GetAttributes Example [ActiveX and VBA Reference: AAR],topic,,on_demand,low,defer,12,titleblock,"aar,activex,and,ex_getattributes,example,getattributes,htm,reference,vba",01_extracted_html/acadauto/ex_getattributes.htm,example page
acadauto:ex_insertblock,acadauto,ex_insertblock.htm,InsertBlock Example [ActiveX and VBA Reference: AAR],topic,,on_demand,low,defer,12,titleblock,"aar,activex,and,ex_insertblock,example,htm,insertblock,reference,vba",01_extracted_html/acadauto/ex_insertblock.htm,example page
acadauto:ex_selectionsets,acadauto,ex_selectionsets.htm,SelectionSets Example [ActiveX and VBA Reference: AAR],topic,,on_demand,low,defer,12,selection,"aar,activex,and,ex_selectionsets,example,htm,reference,selectionsets,vba",01_extracted_html/acadauto/ex_selectionsets.htm,example page
acadauto:ex_activelayout,acadauto,ex_activelayout.htm,ActiveLayout Example [ActiveX and VBA Reference: AAR],topic,,on_demand,low,defer,10,layout,"aar,activelayout,activex,and,ex_activelayout,example,htm,reference,vba",01_extracted_html/acadauto/ex_activelayout.htm,example page
acadauto:ex_documents,acadauto,ex_documents.htm,Documents Example [ActiveX and VBA Reference: AAR],topic,,on_demand,low,defer,10,document,"aar,activex,and,documents,ex_documents,example,htm,reference,vba",01_extracted_html/acadauto/ex_documents.htm,example page
acadauto:ex_hasattributes,acadauto,ex_hasattributes.htm,HasAttributes Example [ActiveX and VBA Reference: AAR],topic,,on_demand,low,defer,10,titleblock,"aar,activex,and,ex_hasattributes,example,hasattributes,htm,reference,vba",01_extracted_html/acadauto/ex_hasattributes.htm,example page
acadauto:ex_view_layerstatename,acadauto,ex_view_layerstatename.htm,LayerState Example [ActiveX and VBA Reference: AAR],topic,,on_demand,low,defer,10,construction,"aar,activex,and,ex_view_layerstatename,example,htm,layerstate,reference,vba",01_extracted_html/acadauto/ex_view_layerstatename.htm,example page
acadauto:ex_layers,acadauto,ex_layers.htm,Layers Example [ActiveX and VBA Reference: AAR],topic,,on_demand,low,defer,10,construction,"aar,activex,and,ex_layers,example,htm,layers,reference,vba",01_extracted_html/acadauto/ex_layers.htm,example page
acadauto:ex_layoutswitched,acadauto,ex_layoutswitched.htm,LayoutSwitched Example [: AAR],topic,,on_demand,low,defer,10,layout,"aar,ex_layoutswitched,example,htm,layoutswitched",01_extracted_html/acadauto/ex_layoutswitched.htm,example page
acadauto:ex_layouts,acadauto,ex_layouts.htm,Layouts Example [ActiveX and VBA Reference: AAR],topic,,on_demand,low,defer,10,layout,"aar,activex,and,ex_layouts,example,htm,layouts,reference,vba",01_extracted_html/acadauto/ex_layouts.htm,example page
acadauto:ex_loadacadlspinalldocuments,acadauto,ex_loadacadlspinalldocuments.htm,LoadAcadLspInAllDocuments Example [ActiveX and VBA Reference: AAR],topic,,on_demand,low,defer,10,document,"aar,activex,and,ex_loadacadlspinalldocuments,example,htm,loadacadlspinalldocuments,reference,vba",01_extracted_html/acadauto/ex_loadacadlspinalldocuments.htm,example page
acadauto:ex_MTextAttribute,acadauto,ex_MTextAttribute.htm,MTextAttribute Example [ActiveX and VBA Reference: AAR],topic,,on_demand,low,defer,10,titleblock,"aar,activex,and,ex_mtextattribute,example,htm,mtextattribute,reference,vba",01_extracted_html/acadauto/ex_MTextAttribute.htm,example page
